"Position","Name","Type","Signal","Label"
"1","PE2","Input","GPIO_Input","Button3"
"2","PE3","Input","GPIO_Input","LimitSW1"
"3","PE4","Input","GPIO_Input","LimitSW2"
"4","PE5","Input","GPIO_Input","LimitSW3"
"5","PE6","Input","GPIO_Input","LimitSW4"
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14/OSC32_IN","I/O","RCC_OSC32_IN",""
"9","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0/OSC_IN","I/O","RCC_OSC_IN",""
"13","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"14","NRST","Reset","",""
"15","PC0","Output","GPIO_Output","AD_RANGE"
"16","PC1","Output","GPIO_Output","AD_OS2"
"17","PC2","Output","GPIO_Output","AD_OS1"
"18","PC3","Output","GPIO_Output","AD_OS0"
"19","VDD","Power","",""
"20","VSSA","Power","",""
"21","VREF+","Power","",""
"22","VDDA","Power","",""
"23","PA0/WKUP","I/O","UART4_TX","Base_Encoder_TX"
"24","PA1","I/O","UART4_RX","Base_Encoder_RX"
"25","PA2","I/O","USART2_TX","Battery_TX"
"26","PA3","I/O","USART2_RX","Battery_RX"
"27","VSS","Power","",""
"28","VDD","Power","",""
"29","PA4","Output","GPIO_Output","AD_SPI1_CS"
"30","PA5","I/O","SPI1_SCK","AD_SPI1_CLK"
"31","PA6","I/O","SPI1_MISO","AD_SPI1_MISO"
"32","PA7","I/O","GPIO_EXTI7","AD_BUSY"
"33","PC4","Output","GPIO_Output","AD_RST"
"34","PC5","Output","GPIO_Output","AD_CV"
"35","PB0","Output","GPIO_Output","ClimbM_IO_FR2"
"36","PB1","Output","GPIO_Output","ClimbM_IO_EN2"
"37","PB2/BOOT1","I/O","",""
"38","PE7","Output","GPIO_Output","ClimbM_IO_BRK2"
"39","PE8","Input","GPIO_Input","ClimbM_IO_ALM2"
"40","PE9","I/O","",""
"41","PE10","I/O","",""
"42","PE11","I/O","TIM1_CH2","Climb_TIM1_CH2"
"43","PE12","Output","GPIO_Output","ClimbM_IO_FR1"
"44","PE13","Output","GPIO_Output","ClimbM_IO_EN1"
"45","PE14","Output","GPIO_Output","ClimbM_IO_BRK1"
"46","PE15","Input","GPIO_Input","ClimbM_IO_ALM1"
"47","PB10","I/O","TIM2_CH3","ClimbSpeed_TIM2_CH3"
"48","PB11","I/O","",""
"49","VCAP_1","Power","",""
"50","VDD","Power","",""
"51","PB12","I/O","",""
"52","PB13","I/O","",""
"53","PB14","I/O","",""
"54","PB15","I/O","",""
"55","PD8","I/O","USART3_TX","HubM_UART3_TX"
"56","PD9","I/O","USART3_RX","HubM_UART3_RX"
"57","PD10","Output","GPIO_Output","CUI_SPI2_CS1"
"58","PD11","Output","GPIO_Output","CUI_SPI2_CS2"
"59","PD12","Input","GPIO_Input","HubM_IO_ALM"
"60","PD13","Output","GPIO_Output","HubM_IO_SON"
"61","PD14","Output","GPIO_Output","HubM_IO_NOT"
"62","PD15","Output","GPIO_Output","HubM_IO_POT"
"63","PC6","I/O","USART6_TX",""
"64","PC7","I/O","USART6_RX",""
"65","PC8","I/O","",""
"66","PC9","I/O","TIM8_CH4",""
"67","PA8","I/O","",""
"68","PA9","I/O","USART1_TX",""
"69","PA10","I/O","USART1_RX",""
"70","PA11","I/O","USB_OTG_FS_DM",""
"71","PA12","I/O","USB_OTG_FS_DP",""
"72","PA13","I/O","SYS_JTMS-SWDIO",""
"73","VCAP_2","Power","",""
"74","VSS","Power","",""
"75","VDD","Power","",""
"76","PA14","I/O","SYS_JTCK-SWCLK",""
"77","PA15","I/O","",""
"78","PC10","I/O","",""
"79","PC11","I/O","",""
"80","PC12","I/O","",""
"81","PD0","I/O","CAN1_RX",""
"82","PD1","I/O","CAN1_TX",""
"83","PD2","I/O","",""
"84","PD3","Output","GPIO_Output","Brake_Wheel"
"85","PD4","I/O","",""
"86","PD5","I/O","",""
"87","PD6","I/O","",""
"88","PD7","I/O","",""
"89","PB3","Output","GPIO_Output","LED1"
"90","PB4","Output","GPIO_Output","LED2"
"91","PB5","I/O","CAN2_RX",""
"92","PB6","I/O","",""
"93","PB7","Output","GPIO_Output","Buzzer"
"94","BOOT0","Boot","",""
"95","PB8","I/O","I2C1_SCL","IMU_I2C1_SCL"
"96","PB9","I/O","I2C1_SDA","IMU_I2C1_SDA"
"97","PE0","Input","GPIO_Input","Button1"
"98","PE1","Input","GPIO_Input","Button2"
"99","VSS","Power","",""
"100","VDD","Power","",""
